下 面 哪一個 「 」 中 的 「 別 」 字， 意 思 和 其 他 三 個 不 同 ？,別人,別生氣,別管了,別哭
「 得 意 」 是 什 麼 意 思 呢 ？,稱 心 如 意 ,得 到 獎 項,非 常 期 待,依 照 指 示 做 事。
下 面「 重 」 的 字 音， 哪一個 和 其 他 三 個 不 同？,重來,體重,重要,輕重
哪一個 句 子 中， 可 以 使 用「 旁」 ？, 風 箏 在 雲 朵「 旁」 玩 遊 戲,小 魚 在 池 塘「 旁」 游 來 游 去,樹 葉 在 小 河「 旁」 漂 著， 好 像一 艘 小 船,我 吃 得 太 飽 了， 現 在 肚 子「 旁」 都 是 食 物。
 哪一個 句 子 中， 不 能 使 用「 立 刻」 ？,哥 哥 的 感 冒， 經 過 了 十 天「 立 刻」 好 轉。, 媽 媽 說 的 話 我 會「 立 刻」 記 住,一回 到 家， 我 會「 立 刻」 去 洗 手, 撞 到 同 學 要「 立 刻」 說 對 不 起。
快，慢,反義詞,同義詞,同類詞,沒有關係
重新，再次,同義詞,反義詞,同類詞,沒有關係
容易，困難,反義詞,同義詞,同類詞,沒有關係
有趣，無聊,反義詞,同義詞,同類詞,沒有關係
真的，實在,同義詞,反義詞,同類詞,沒有關係
