哪一個選項的組成方式和「拿出竹筒」相同？;關上窗子;出去跑步;準時出門;神奇魔法
下面「著」的字音，哪一個和其他三個不同？;看「著」書;「著」火;「著」想;「著」迷
下面哪一組語詞不是相反詞？　;明天／明日;方便／麻煩;方便／麻煩;下山／上山
「用來生火」中「生火」的相反詞是什麼？　;熄火;放火;發火;救火
下面哪一個字不能和「院」組成語詞？　;望;後;醫;庭
選出部首不同的字：;爸;太;奇;天
請選出和「奇」同部首的字;天;可;吃;池
下面哪一個字是「左右」合起來的字？　;餓;屋;奇;星
下面哪一個「　」中的讀音與「設備」的「備」相同？　;棉「被」;「背」包;「幫」忙;「陪」伴
下面哪一個「　」中的讀音與「精神」的「神」相同？　;沒「什」麼;「聲」音;「生」氣;「伸」手
下面「奇」的字音，哪一個和其他三個不同？;奇數;神奇;奇怪;奇異
下面哪個詞不是「神奇」的相反詞;基本;平常;普通;尋常
下面哪一個「　」中的讀音與「竹筒飯」的「筒」相同？　;水「桶」;共「同」;兒「童」;普「通」
下面哪個詞是「戶外」的相反詞;室內;上面;地下;門口
哥哥在「    」考試，空格中可以填入什麼詞;準備;放棄;取消;預習
不用「煱」子，也能「主」飯，「    」內正確的字為何？;鍋煮;括主;鍋主;括煮
下面哪個詞是「祖先」的相反詞;後代;先人;主人;長輩
工人在「功做」，「  」內正確的字為何？;工作;公作;攻作;恭作
下面哪個詞是「餓」的相反詞;飽;滿;渴;長
竹筒飯「    」香氣，空格中可以填入什麼詞;飄出;放出;漂出;漏出
花朵散發出「    」清香，空格中可以填入什麼詞;陣陣;片片;朵朵;絲絲
下面「好」的字音，哪一個和其他三個不同？;喜好;好朋友;好人;好棒
下面「好」的字音，哪一個和其他三個不同？;好朋友;喜好;好奇;好惡
周星馳的電影「  」搞笑，「 」很有創意。空格可填什麼;不但，還;是，還是;可是，卻;有，還有
「神」和「飯」的部首是什麼;礻，食;礻，反;申，食;申，反
